,patentCaseMetadata.applicationNumberText.value,patentCaseMetadata.applicationStatusCategory,patentCaseMetadata.applicationTypeCategory,patentCaseMetadata.businessEntityStatusCategory,patentCaseMetadata.firstInventorToFileIndicator,patentCaseMetadata.filingDate,patentCaseMetadata.applicationStatusDate,patentCaseMetadata.groupArtUnitNumber.value,patentCaseMetadata.inventionTitle.content
76,17423016,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-10,2022-03-30,OPAP,['DEEP LEARNING ARCHITECTURE SYSTEM FOR AUTOMATIC FUNDUS IMAGE READING AND AUTOMATIC FUNDUS IMAGE READING METHOD USING DEEP LEARNING ARCHITECTURE SYSTEM']
77,17572019,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,false,2022-01-10,2022-01-13,3992,['APPARATUS AND CIRCUIT FOR PROCESSING CARRIER AGGREGATION']
78,17290522,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-06,2022-03-03,OPAP,['MAMC-MEDIATED BIOMIMETIC NANOPARTICLES']
79,17625784,Sent to Classification contractor,Utility,SMALL,true,2022-01-10,2022-03-23,,['SYSTEMS AND METHODS FOR SHAPING BEAMS PRODUCED BY ANTENNA ARRAYS']
80,17625499,,Utility,UNDISCOUNTED,Other,2022-01-07,,,['METHOD FOR FEEDING POULTRY']
81,17625877,Application Undergoing Preexam Processing,Utility,SMALL,Other,2022-01-10,2022-01-10,,['SAMPLE TRANSFER APPARATUS AND METHOD FOR TRANSFERRING A SAMPLE HOLDER INTO AND OUT OF A VACUUM CHAMBER']
82,17572393,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-10,2022-01-13,3991,['OPTICAL IMAGING LENS ASSEMBLY']
83,17597444,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-06,2022-03-14,OPAP,"['IMAGING DEVICE, SHUTTER UNIT, AND SHUTTER CONTROL METHOD']"
84,17569904,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-06,2022-01-10,3993,['FASTENING STAPLE FOR A PHOTOVOLTAIC FRAMEWORK WITH MOUNTING BY INSERTION AND THEN SLIDING INTO A SLOT OF A SUPPORT WALL']
85,17597518,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-10,2022-03-25,OPAP,['METHOD FOR DETECTING SKATOLE IN A SAMPLE OF PIG ADIPOSE TISSUE']
86,17624933,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-05,2022-03-21,,['MATERIAL AND METHOD FOR POWDER BED FUSION']
87,17435778,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-05,2022-02-07,OPAP,['CLOTHES HANGER']
88,17625031,Sent to Classification contractor,Utility,SMALL,true,2022-01-05,2022-03-22,,['PACKAGING ITEM COMPRISING MEANS FOR RETAINING AN OBJECT']
89,17626111,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-10,2022-03-04,OPAP,['BLOCKCHAIN MICROPROCESSOR AND METHOD']
90,90014938,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-10,2022-02-07,3992,['METHOD AND APPARATUS FOR TRANSFERRING INFORMATION BETWEEN VEHICLES']
91,17426526,Sent to Classification contractor,Utility,MICRO,true,2022-01-11,2022-01-31,3741,['VEHICLE HAVING A TURBINE SYSTEM']
92,17597565,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-11,2022-03-09,OPAP,['METHOD AND APPARATUS FOR ADAPTIVE BEAMFORMING']
93,17604055,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-11,2022-03-15,,['PROCESSING SYSTEM AND INSPECTION SYSTEM']
94,17569389,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-05,2022-02-22,3991,['NUCLEIC ACID MOLECULES ENCODING CHIMERIC ANTIGEN RECEPTORS COMPRISING A CD20 BINDING DOMAIN']
95,17597411,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-05,2022-03-22,,['SYSTEMS AND METHODS FOR A CONTROL STATION FOR ROBOTIC INTERVENTIONAL PROCEDURES USING A PLURALITY OF ELONGATED MEDICAL DEVICES']
96,17626358,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-11,2022-03-23,,['SYSTEM AND METHOD UTILIZING CHAIN OF TRUST']
97,17626195,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-11,2022-02-23,OPAP,['PERMUTATION-BASED CODING FOR DATA STORAGE AND DATA TRANSMISSION']
98,17597568,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-11,2022-03-14,OPAP,['Systems and Methods for Memory Specificity with Virtual Reality']
99,35513462,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-11,2022-02-19,2900,['Water toy']
100,17426661,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-11,2022-02-28,OPAP,['METHOD FOR PRODUCING A COMPONENT USING A THREE-DIMENSIONAL PRINTING METHOD']
101,17626453,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-11,2022-03-24,,['MACHINE LEARNING FOR SPLICE IMPROVEMENT']
102,17572345,Application Undergoing Preexam Processing,Re-Issue,SMALL,Other,2022-01-10,2022-01-10,3792,['WEARABLE DIAGNOSTIC DEVICE']
103,96000390,Non-Final Action Mailed,Re-Examination,UNDISCOUNTED,true,2022-01-11,2022-03-11,3991,['METHOD FOR REDUCING OTOTOXICITY IN PEDIATRIC PATIENTS RECEIVING PLATINUM-BASED CHEMOTHERAPY']
104,17626607,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-12,2022-03-16,,['ROTARY ELECTRIC MACHINE AND OIL TANK FOR A ROTARY ELECTRIC MACHINE']
105,17609909,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-11,2022-03-23,,['MULTI-CABLE MADE OF PLURALITY OF DIELECTRIC WAVEGUIDES']
106,17573707,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-12,2022-01-19,3991,['MAMMALIAN MILK OSTEOPONTIN FOR ENHANCING IMMUNE RESPONSIVENESS']
107,35513886,Application Undergoing Preexam Processing,Design,UNDISCOUNTED,Other,2022-01-12,2022-03-31,,['Refrigerator']
108,17574489,Docketed New Case - Ready for Examination,Re-Issue,SMALL,false,2022-01-12,2022-03-16,3992,['System and Method for Protecting a Computer System from Malicious Software']
109,17626782,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-12,2022-02-23,OPAP,['HYPERSPECTRAL COMPUTER VISION AIDED TIME SERIES FORECASTING FOR EVERY DAY BEST FLAVOR']
110,17417531,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-12,2022-03-11,OPAP,['Component Concentration Measuring Device']
111,17299721,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-12,2022-03-11,OPAP,['PLASMA PROCESSING APPARATUS AND PLASMA PROCESSING METHOD']
112,17413507,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-12,2022-01-24,OPAP,['EDIBLE PRODUCTS']
113,17626658,Sent to Classification contractor,Utility,SMALL,true,2022-01-12,2022-03-25,,['SYSTEM AND METHOD FOR IMAGING TENDON CROSS SECTIONS FOR DETECTING VOIDS AND OTHER DEFICIENCIES IN GROUTED EXTERNAL TENDONS']
114,90014940,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-12,2022-02-25,3992,['SYSTEM PROVIDING FASTER AND MORE EFFICIENT DATA COMMUNICATION']
115,35513459,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-13,2022-02-16,2900,['Headphone']
116,17574175,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,false,2022-01-12,2022-01-26,3992,['SUPERCONTINUUM LIGHT SOURCE']
117,35513720,"Application Dispatched from Preexam, Not Yet Docketed",Design,SMALL,true,2022-01-13,2022-03-18,2913,['Massage device']
118,17429696,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-11,2022-02-14,OPAP,['APPARATUS FOR DIAGNOSING PHOTOVOLTAIC POWER GENERATION THROUGH ANALYSIS OF POWER GENERATION TREND']
119,17627064,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-13,2022-03-25,,['ADJUSTABLE TAPERED WASHER']
120,17597567,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-11,2022-02-28,OPAP,['TECHNIQUE FOR TRANSMITTING INFORMATION ON MIDAMBLE IN WIRELESS COMMUNICATION SYSTEM']
121,17275395,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-13,2022-02-02,OPAP,['METHOD FOR PRODUCING ASTROCYTES']
122,17610091,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-13,2022-03-16,OPAP,['FILM-TYPE HEATER CAPABLE OF THREE-DIMENSIONAL SHAPE DEFORMATION AND METHOD FOR MANUFACTURING THE SAME']
123,17575098,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-13,2022-01-18,3993,['PACKAGE']
124,90014939,Determination - Reexamination Ordered,Re-Examination,SMALL,false,2022-01-10,2022-02-16,3993,['BIPOD FIREARM SUPPORT']
125,17417368,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-13,2022-03-11,OPAP,['DOCKING DEVICE FOR AN UNDERWATER VEHICLE']
126,17627449,Application Undergoing Preexam Processing,Utility,MICRO,Other,2022-01-14,2022-01-14,3747,['CAM MACHINE WITH ADJUSTMENT MECHANISM']
127,17627593,Application Undergoing Preexam Processing,Utility,UNDISCOUNTED,Other,2022-01-14,2022-01-14,,['Recovering Used Subsea Pipelines']
128,17576476,Docketed New Case - Ready for Examination,Re-Issue,SMALL,true,2022-01-14,2022-01-28,3993,['Collapsible Chair']
129,17597643,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-14,2022-03-11,OPAP,['APPARATUS AND METHOD FOR DRYING AND STYLING HAIR']
130,17597566,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-11,2022-03-09,OPAP,"['REMOTE AIRFLOW OBSERVATION DEVICE, REMOTE AIRFLOW OBSERVATION METHOD, AND PROGRAM']"
131,17597642,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-14,2022-03-09,OPAP,"['Method and Apparatus for Identifying Location Spectrum, and Computer Storage Medium']"
132,17627565,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-14,2022-03-22,,"['ASYMMETRIC 24-PULSE AUTOTRANSFORMER RECTIFIER UNIT FOR TURBOELECTRIC PROPULSION, AND ASSOCIATED SYSTEMS AND METHODS']"
133,17275387,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-14,2022-02-07,OPAP,"['DRIVING AND IMAGE ACQUISITION METHOD APPLIED TO UNDER-SCREEN IMAGING, STORAGE MEDIUM, AND ELECTRONIC DEVICE']"
134,17604413,Docketed New Case - Ready for Examination,Utility,SMALL,true,2022-01-14,2022-02-14,OPAP,"['APPARATUS, WHICH IS INSERTABLE INTO AN EAR CANAL, FOR DETECTING PHYSIOLOGICAL PARAMETERS']"
135,17626214,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-11,2022-03-23,,['DOUBLE-SIDED CUTTING INSERT FOR MILLING']
136,17420075,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-10,2022-02-09,OPAP,['Database Management Service Provision System']
137,17597649,Sent to Classification contractor,Utility,SMALL,true,2022-01-15,2022-04-01,,['VIRUS AND TUMOR THERAPEUTIC DRUG FOR SPECIFICALLY KILLING TUMOR CELLS']
138,17627653,Sent to Classification contractor,Utility,SMALL,true,2022-01-15,2022-03-22,,['METHOD FOR TESTING MEDICAL DATA']
139,17413435,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-14,2022-02-28,OPAP,['Method for Producing Conventionally Hot-Rolled Profiled Strip Products']
140,17626064,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-10,2022-03-23,,['CUBIC BORON NITRIDE SINTERED MATERIAL']
141,17626051,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-10,2022-03-23,,['CUBIC BORON NITRIDE SINTERED MATERIAL']
142,90014944,Determination - Reexamination Ordered,Re-Examination,UNDISCOUNTED,false,2022-01-14,2022-03-02,3992,['ASSOCIATIVE CACHE STRUCTURE FOR LOOKUPS AND UPDATES TO FLOW RECORDS IN A NETWORK MONITOR']
143,17285576,Application Returned back to Preexam,Utility,UNDISCOUNTED,true,2022-01-10,2021-12-21,1736,"['CATALYST FOR WATER GAS SHIFT REACTION AT MIDDLE TEMPERATURE, PREPARATION METHOD THEREOF, AND HYDROGEN PREPARATION METHOD USING SAME']"
144,35513834,"Application Dispatched from Preexam, Not Yet Docketed",Design,UNDISCOUNTED,true,2022-01-17,2022-03-28,2913,['Waffle warmer non electric']
145,35513523,Docketed New Case - Ready for Examination,Design,UNDISCOUNTED,true,2022-01-17,2022-03-14,2900,['Nasal spray device']
146,17626006,Sent to Classification contractor,Utility,UNDISCOUNTED,true,2022-01-10,2022-03-23,,['POWER AMPLIFIER DEVICE']
147,17571911,Docketed New Case - Ready for Examination,Re-Issue,UNDISCOUNTED,true,2022-01-10,2022-01-12,3991,['HERBICIDAL COMPOSITION']
148,17299770,Docketed New Case - Ready for Examination,Utility,UNDISCOUNTED,true,2022-01-17,2022-02-15,OPAP,['TEMPERATURE CONTROL DEVICE AND CONTAINER PRODUCTION MACHINE']
